# t x y z R phi vx vy vz vR vphi vz_cyl
0 -12 1.469576159e-15 0.3 12 3.141592654 -0.0044 -0.2156 0.0044 0.0044 0.2156 0.0044
0.01 -12.0000438 -0.002155999982 0.3000439938 12.00004399 3.14177232 -0.004359697843 -0.2155999964 0.004398756017 0.004398433763 0.2155992096 0.004398756017
0.02 -12.00008719 -0.004311999891 0.3000879751 12.00008797 3.141951984 -0.004319395843 -0.2155999855 0.004397511862 0.004396867256 0.2155984195 0.004397511862
0.03 -12.00013019 -0.006467999656 0.300131944 12.00013193 3.142131648 -0.004279094003 -0.2155999674 0.004396267533 0.00439530048 0.2155976297 0.004396267533
0.04 -12.00017278 -0.008623999204 0.3001759005 12.00017587 3.14231131 -0.004238792323 -0.2155999421 0.004395023032 0.004393733435 0.2155968402 0.004395023032
0.05 -12.00021496 -0.01077999846 0.3002198445 12.0002198 3.14249097 -0.004198490805 -0.2155999095 0.004393778357 0.004392166121 0.2155960509 0.004393778357
0.06 -12.00025675 -0.01293599736 0.300263776 12.00026372 3.14267063 -0.00415818945 -0.2155998697 0.00439253351 0.004390598538 0.215595262 0.00439253351
0.07 -12.00029813 -0.01509199582 0.3003076951 12.00030762 3.142850288 -0.004117888259 -0.2155998226 0.00439128849 0.004389030687 0.2155944733 0.00439128849
0.08 -12.0003391 -0.01724799377 0.3003516018 12.0003515 3.143029945 -0.004077587233 -0.2155997683 0.004390043298 0.004387462566 0.2155936849 0.004390043298
0.09 -12.00037968 -0.01940399115 0.300395496 12.00039537 3.1432096 -0.004037286374 -0.2155997068 0.004388797932 0.004385894177 0.2155928968 0.004388797932
0.1 -12.00041985 -0.02155998787 0.3004393778 12.00043922 3.143389254 -0.003996985683 -0.215599638 0.004387552395 0.00438432552 0.215592109 0.004387552395
0.11 -12.00045962 -0.02371598387 0.3004832471 12.00048305 3.143568907 -0.00395668516 -0.2155995619 0.004386306684 0.004382756594 0.2155913215 0.004386306684
0.12 -12.00049898 -0.02587197907 0.3005271039 12.00052687 3.143748559 -0.003916384809 -0.2155994787 0.004385060802 0.004381187399 0.2155905343 0.004385060802
0.13 -12.00053795 -0.02802797341 0.3005709483 12.00057068 3.143928209 -0.003876084629 -0.2155993882 0.004383814746 0.004379617937 0.2155897473 0.004383814746
0.14 -12.0005765 -0.0301839668 0.3006147802 12.00061446 3.144107858 -0.003835784621 -0.2155992904 0.004382568519 0.004378048206 0.2155889607 0.004382568519
0.15 -12.00061466 -0.03233995918 0.3006585996 12.00065824 3.144287506 -0.003795484788 -0.2155991855 0.004381322119 0.004376478208 0.2155881743 0.004381322119
0.16 -12.00065241 -0.03449595047 0.3007024066 12.00070199 3.144467152 -0.00375518513 -0.2155990732 0.004380075547 0.004374907941 0.2155873883 0.004380075547
0.17 -12.00068976 -0.03665194061 0.3007462012 12.00074573 3.144646797 -0.003714885649 -0.2155989538 0.004378828802 0.004373337407 0.2155866025 0.004378828802
0.18 -12.00072671 -0.03880792951 0.3007899832 12.00078946 3.144826441 -0.003674586345 -0.2155988271 0.004377581886 0.004371766605 0.215585817 0.004377581886
0.19 -12.00076326 -0.04096391711 0.3008337528 12.00083317 3.145006083 -0.003634287221 -0.2155986931 0.004376334797 0.004370195535 0.2155850317 0.004376334797
0.2 -12.0007994 -0.04311990334 0.3008775099 12.00087686 3.145185724 -0.003593988277 -0.215598552 0.004375087536 0.004368624198 0.2155842468 0.004375087536
0.21 -12.00083514 -0.04527588812 0.3009212545 12.00092054 3.145365364 -0.003553689515 -0.2155984035 0.004373840103 0.004367052594 0.2155834622 0.004373840103
0.22 -12.00087047 -0.04743187137 0.3009649867 12.00096421 3.145545002 -0.003513390935 -0.2155982479 0.004372592499 0.004365480722 0.2155826778 0.004372592499
0.23 -12.0009054 -0.04958785304 0.3010087064 12.00100785 3.145724639 -0.003473092539 -0.215598085 0.004371344722 0.004363908584 0.2155818938 0.004371344722
0.24 -12.00093993 -0.05174383304 0.3010524136 12.00105148 3.145904275 -0.003432794329 -0.2155979149 0.004370096773 0.004362336178 0.21558111 0.004370096773
0.25 -12.00097406 -0.0538998113 0.3010961083 12.0010951 3.14608391 -0.003392496305 -0.2155977375 0.004368848653 0.004360763505 0.2155803265 0.004368848653
0.26 -12.00100778 -0.05605578775 0.3011397906 12.0011387 3.146263543 -0.003352198469 -0.2155975529 0.004367600361 0.004359190565 0.2155795433 0.004367600361
0.27 -12.0010411 -0.05821176232 0.3011834603 12.00118228 3.146443175 -0.003311900822 -0.215597361 0.004366351897 0.004357617359 0.2155787604 0.004366351897
0.28 -12.00107402 -0.06036773494 0.3012271176 12.00122585 3.146622806 -0.003271603366 -0.2155971619 0.004365103261 0.004356043885 0.2155779778 0.004365103261
0.29 -12.00110654 -0.06252370552 0.3012707624 12.0012694 3.146802435 -0.003231306101 -0.2155969556 0.004363854454 0.004354470146 0.2155771955 0.004363854454
0.3 -12.00113865 -0.06467967401 0.3013143947 12.00131294 3.146982063 -0.003191009028 -0.2155967421 0.004362605475 0.00435289614 0.2155764134 0.004362605475
0.31 -12.00117036 -0.06683564033 0.3013580145 12.00135646 3.14716169 -0.00315071215 -0.2155965213 0.004361356325 0.004351321867 0.2155756317 0.004361356325
0.32 -12.00120166 -0.0689916044 0.3014016218 12.00139997 3.147341315 -0.003110415467 -0.2155962932 0.004360107004 0.004349747328 0.2155748502 0.004360107004
0.33 -12.00123256 -0.07114756616 0.3014452166 12.00144346 3.147520939 -0.00307011898 -0.215596058 0.00435885751 0.004348172524 0.215574069 0.00435885751
0.34 -12.00126306 -0.07330352552 0.301488799 12.00148693 3.147700562 -0.003029822692 -0.2155958154 0.004357607846 0.004346597453 0.2155732881 0.004357607846
0.35 -12.00129316 -0.07545948243 0.3015323688 12.00153039 3.147880183 -0.002989526602 -0.2155955657 0.00435635801 0.004345022116 0.2155725075 0.00435635801
0.36 -12.00132285 -0.0776154368 0.3015759261 12.00157383 3.148059804 -0.002949230712 -0.2155953087 0.004355108003 0.004343446513 0.2155717272 0.004355108003
0.37 -12.00135215 -0.07977138857 0.301619471 12.00161726 3.148239422 -0.002908935024 -0.2155950445 0.004353857825 0.004341870645 0.2155709472 0.004353857825
0.38 -12.00138103 -0.08192733766 0.3016630033 12.00166067 3.14841904 -0.002868639539 -0.215594773 0.004352607476 0.004340294511 0.2155701675 0.004352607476
0.39 -12.00140952 -0.08408328399 0.3017065231 12.00170406 3.148598656 -0.002828344257 -0.2155944943 0.004351356955 0.004338718111 0.215569388 0.004351356955
