# t ax ay az
0 -0.004839402543 -0 -5.974571041e-05
0.01 -0.004839380621 -1.043365884e-06 -5.977146443e-05
0.02 -0.004839358484 -2.086713141e-06 -5.979721465e-05
0.03 -0.004839336131 -3.130041735e-06 -5.982296106e-05
0.04 -0.004839313562 -4.173351626e-06 -5.984870366e-05
0.05 -0.004839290778 -5.216642776e-06 -5.987444245e-05
0.06 -0.004839267778 -6.259915146e-06 -5.990017744e-05
0.07 -0.004839244563 -7.3031687e-06 -5.992590861e-05
0.08 -0.004839221132 -8.346403398e-06 -5.995163597e-05
0.09 -0.004839197485 -9.389619203e-06 -5.997735952e-05
0.1 -0.004839173623 -1.043281607e-05 -6.000307925e-05
0.11 -0.004839149546 -1.147599398e-05 -6.002879517e-05
0.12 -0.004839125252 -1.251915287e-05 -6.005450727e-05
0.13 -0.004839100744 -1.356229272e-05 -6.008021556e-05
0.14 -0.004839076019 -1.460541348e-05 -6.010592002e-05
0.15 -0.004839051079 -1.564851512e-05 -6.013162067e-05
0.16 -0.004839025924 -1.66915976e-05 -6.01573175e-05
0.17 -0.004839000553 -1.773466088e-05 -6.01830105e-05
0.18 -0.004838974967 -1.877770492e-05 -6.020869968e-05
0.19 -0.004838949165 -1.982072969e-05 -6.023438504e-05
0.2 -0.004838923148 -2.086373514e-05 -6.026006657e-05
0.21 -0.004838896915 -2.190672124e-05 -6.028574427e-05
0.22 -0.004838870467 -2.294968795e-05 -6.031141815e-05
0.23 -0.004838843803 -2.399263523e-05 -6.03370882e-05
0.24 -0.004838816924 -2.503556305e-05 -6.036275442e-05
0.25 -0.00483878983 -2.607847136e-05 -6.038841681e-05
0.26 -0.00483876252 -2.712136013e-05 -6.041407536e-05
0.27 -0.004838734995 -2.816422931e-05 -6.043973009e-05
0.28 -0.004838707255 -2.920707888e-05 -6.046538098e-05
0.29 -0.004838679299 -3.02499088e-05 -6.049102803e-05
0.3 -0.004838651127 -3.129271901e-05 -6.051667125e-05
0.31 -0.004838622741 -3.23355095e-05 -6.054231064e-05
0.32 -0.004838594139 -3.337828021e-05 -6.056794618e-05
