# t ax ay az
0.96 0.004028146305 6.946018262e-05 -0.000126027287
0.97 0.004028118641 7.018313847e-05 -0.0001260440977
0.98 0.004028090852 7.090608162e-05 -0.0001260609033
0.99 0.00402806294 7.162901203e-05 -0.0001260777038
1 0.004028034903 7.235192969e-05 -0.0001260944992
1.01 0.004028006742 7.307483458e-05 -0.0001261112894
1.02 0.004027978458 7.379772669e-05 -0.0001261280745
1.03 0.004027950049 7.452060599e-05 -0.0001261448545
1.04 0.004027921516 7.524347247e-05 -0.0001261616293
1.05 0.004027892859 7.596632611e-05 -0.000126178399
1.06 0.004027864078 7.668916689e-05 -0.0001261951635
1.07 0.004027835173 7.74119948e-05 -0.000126211923
1.08 0.004027806144 7.813480981e-05 -0.0001262286772
1.09 0.004027776991 7.88576119e-05 -0.0001262454264
1.1 0.004027747714 7.958040107e-05 -0.0001262621704
1.11 0.004027718313 8.030317728e-05 -0.0001262789093
1.12 0.004027688789 8.102594053e-05 -0.000126295643
1.13 0.00402765914 8.174869079e-05 -0.0001263123716
1.14 0.004027629367 8.247142804e-05 -0.000126329095
1.15 0.00402759947 8.319415228e-05 -0.0001263458134
1.16 0.004027569449 8.391686347e-05 -0.0001263625265
1.17 0.004027539304 8.463956161e-05 -0.0001263792346
1.18 0.004027509035 8.536224666e-05 -0.0001263959375
1.19 0.004027478642 8.608491863e-05 -0.0001264126352
1.2 0.004027448126 8.680757748e-05 -0.0001264293278
1.21 0.004027417485 8.75302232e-05 -0.0001264460153
1.22 0.00402738672 8.825285577e-05 -0.0001264626977
1.23 0.004027355832 8.897547517e-05 -0.0001264793748
1.24 0.004027324819 8.969808139e-05 -0.0001264960469
1.25 0.004027293683 9.04206744e-05 -0.0001265127138
1.26 0.004027262423 9.114325419e-05 -0.0001265293756
1.27 0.004027231038 9.186582075e-05 -0.0001265460322
1.28 0.00402719953 9.258837404e-05 -0.0001265626837
1.29 0.004027167898 9.331091406e-05 -0.00012657933
1.3 0.004027136142 9.403344078e-05 -0.0001265959712
1.31 0.004027104263 9.475595419e-05 -0.0001266126072
1.32 0.004027072259 9.547845427e-05 -0.0001266292381
1.33 0.004027040131 9.620094101e-05 -0.0001266458639
1.34 0.00402700788 9.692341437e-05 -0.0001266624845
1.35 0.004026975504 9.764587435e-05 -0.0001266790999
1.36 0.004026943005 9.836832093e-05 -0.0001266957102
1.37 0.004026910382 9.909075409e-05 -0.0001267123154
1.38 0.004026877635 9.981317381e-05 -0.0001267289154
1.39 0.004026844764 0.0001005355801 -0.0001267455103
1.4 0.00402681177 0.0001012579729 -0.0001267621
1.41 0.004026778651 0.0001019803521 -0.0001267786846
1.42 0.004026745409 0.0001027027179 -0.000126795264
1.43 0.004026712043 0.0001034250702 -0.0001268118382
1.44 0.004026678553 0.0001041474089 -0.0001268284074
1.45 0.004026644939 0.000104869734 -0.0001268449713
1.46 0.004026611202 0.0001055920456 -0.0001268615301
1.47 0.00402657734 0.0001063143435 -0.0001268780838
1.48 0.004026543355 0.0001070366279 -0.0001268946323
1.49 0.004026509246 0.0001077588986 -0.0001269111757
1.5 0.004026475013 0.0001084811556 -0.0001269277139
1.51 0.004026440657 0.000109203399 -0.000126944247
1.52 0.004026406177 0.0001099256286 -0.0001269607749
1.53 0.004026371572 0.0001106478446 -0.0001269772976
1.54 0.004026336845 0.0001113700468 -0.0001269938152
1.55 0.004026301993 0.0001120922353 -0.0001270103277
1.56 0.004026267018 0.00011281441 -0.0001270268349
1.57 0.004026231919 0.000113536571 -0.0001270433371
1.58 0.004026196696 0.0001142587181 -0.0001270598341
1.59 0.004026161349 0.0001149808514 -0.0001270763259
