# t Lx Ly Lz KE PE E dE dLz
0 0.06468 0.05148 2.5872 0.02326104 0.1202881475 0.1435491875 0 0
0.01 0.06468000025 0.05147716371 2.5872 0.02326085723 0.1202883303 0.1435491875 0 0
0.02 0.06468000102 0.05147432702 2.5872 0.02326067452 0.120288513 0.1435491875 5.800571101e-16 0
0.03 0.06468000229 0.05147148993 2.5872 0.02326049188 0.1202886956 0.1435491875 5.800571101e-16 0
0.04 0.06468000408 0.05146865243 2.5872 0.0232603093 0.1202888782 0.1435491875 1.35346659e-15 -1.716485814e-16
0.05 0.06468000637 0.05146581453 2.5872 0.02326012679 0.1202890607 0.1435491875 1.54681896e-15 -1.716485814e-16
0.06 0.06468000918 0.05146297622 2.5872 0.02325994435 0.1202892431 0.1435491875 1.74017133e-15 0
0.07 0.06468001249 0.05146013751 2.5872 0.02325976196 0.1202894255 0.1435491875 2.32022844e-15 0
0.08 0.06468001632 0.05145729839 2.5872 0.02325957964 0.1202896078 0.1435491875 2.51358081e-15 -1.716485814e-16
0.09 0.06468002065 0.05145445888 2.5872 0.02325939739 0.1202897901 0.1435491875 2.90028555e-15 0
0.1 0.0646800255 0.05145161896 2.5872 0.0232592152 0.1202899723 0.1435491875 3.28699029e-15 -1.716485814e-16
0.11 0.06468003086 0.05144877863 2.5872 0.02325903308 0.1202901544 0.1435491875 3.67369503e-15 -1.716485814e-16
0.12 0.06468003673 0.05144593791 2.5872 0.02325885102 0.1202903365 0.1435491875 3.8670474e-15 -1.716485814e-16
0.13 0.06468004311 0.05144309678 2.5872 0.02325866902 0.1202905185 0.1435491875 4.25375214e-15 -3.432971628e-16
0.14 0.06468005 0.05144025525 2.5872 0.02325848709 0.1202907004 0.1435491875 4.640456881e-15 -3.432971628e-16
0.15 0.0646800574 0.05143741331 2.5872 0.02325830523 0.1202908823 0.1435491875 4.833809251e-15 -6.865943257e-16
0.16 0.06468006532 0.05143457098 2.5872 0.02325812343 0.1202910641 0.1435491875 5.220513991e-15 -6.865943257e-16
0.17 0.06468007375 0.05143172824 2.5872 0.02325794169 0.1202912458 0.1435491875 5.607218731e-15 -6.865943257e-16
0.18 0.06468008268 0.0514288851 2.5872 0.02325776002 0.1202914275 0.1435491875 5.800571101e-15 -6.865943257e-16
0.19 0.06468009214 0.05142604157 2.5872 0.02325757841 0.1202916091 0.1435491875 6.187275841e-15 -8.582429071e-16
0.2 0.0646801021 0.05142319763 2.5872 0.02325739687 0.1202917906 0.1435491875 6.573980581e-15 -8.582429071e-16
0.21 0.06468011257 0.05142035329 2.5872 0.0232572154 0.1202919721 0.1435491875 6.767332951e-15 -8.582429071e-16
0.22 0.06468012356 0.05141750854 2.5872 0.02325703399 0.1202921535 0.1435491875 7.154037691e-15 -8.582429071e-16
0.23 0.06468013506 0.0514146634 2.5872 0.02325685264 0.1202923349 0.1435491875 7.540742431e-15 -8.582429071e-16
0.24 0.06468014708 0.05141181786 2.5872 0.02325667136 0.1202925161 0.1435491875 7.927447171e-15 -6.865943257e-16
0.25 0.0646801596 0.05140897192 2.5872 0.02325649014 0.1202926973 0.1435491875 8.314151911e-15 -8.582429071e-16
0.26 0.06468017264 0.05140612558 2.5872 0.02325630899 0.1202928785 0.1435491875 8.507504281e-15 -8.582429071e-16
0.27 0.06468018619 0.05140327884 2.5872 0.0232561279 0.1202930596 0.1435491875 8.894209021e-15 -6.865943257e-16
0.28 0.06468020026 0.0514004317 2.5872 0.02325594688 0.1202932406 0.1435491875 9.280913761e-15 -6.865943257e-16
0.29 0.06468021484 0.05139758416 2.5872 0.02325576592 0.1202934216 0.1435491875 9.667618501e-15 -6.865943257e-16
0.3 0.06468022993 0.05139473622 2.5872 0.02325558503 0.1202936025 0.1435491875 9.860970871e-15 -8.582429071e-16
0.31 0.06468024554 0.05139188788 2.5872 0.0232554042 0.1202937833 0.1435491875 1.024767561e-14 -8.582429071e-16
