# t x y z R phi vx vy vz vR vphi vz_cyl
0.35 10.0012436 0.07545925424 0.1015363222 10.00152827 0.00754484396 0.002706358131 0.2155936107 0.004378931519 0.004332885821 0.2155670556 0.004378931519
0.36 10.00127043 0.07761518849 0.1015801085 10.00157159 0.007760377142 0.002657973208 0.2155932404 0.004378324942 0.004330961234 0.2155661219 0.004378324942
0.37 10.00129676 0.07977111899 0.1016238887 10.00161489 0.007975908457 0.002609588581 0.2155928597 0.00437771811 0.004329036258 0.2155651886 0.00437771811
0.38 10.00132262 0.08192704563 0.1016676628 10.00165817 0.008191437906 0.002561204251 0.2155924686 0.004377111021 0.004327110893 0.2155642558 0.004377111021
0.39 10.00134799 0.08408296831 0.1017114309 10.00170143 0.008406965491 0.002512820222 0.215592067 0.004376503676 0.00432518514 0.2155633234 0.004376503676
0.4 10.00137287 0.08623888692 0.1017551929 10.00174467 0.008622491211 0.002464436494 0.215591655 0.004375896075 0.004323258999 0.2155623914 0.004375896075
0.41 10.00139728 0.08839480136 0.1017989488 10.0017879 0.008838015068 0.002416053071 0.2155912326 0.004375288219 0.00432133247 0.2155614599 0.004375288219
0.42 10.00142119 0.09055071152 0.1018426987 10.0018311 0.009053537063 0.002367669955 0.2155907998 0.004374680106 0.004319405552 0.2155605287 0.004374680106
0.43 10.00144463 0.0927066173 0.1018864424 10.00187428 0.009269057196 0.002319287147 0.2155903565 0.004374071737 0.004317478247 0.215559598 0.004374071737
0.44 10.00146758 0.0948625186 0.1019301801 10.00191745 0.009484575469 0.00227090465 0.2155899028 0.004373463112 0.004315550555 0.2155586677 0.004373463112
0.45 10.00149005 0.09701841531 0.1019739117 10.00196059 0.009700091881 0.002222522466 0.2155894387 0.004372854231 0.004313622475 0.2155577379 0.004372854231
0.46 10.00151203 0.09917430732 0.1020176372 10.00200372 0.009915606435 0.002174140596 0.2155889642 0.004372245095 0.004311694009 0.2155568084 0.004372245095
0.47 10.00153353 0.1013301945 0.1020613566 10.00204683 0.01013111913 0.002125759044 0.2155884792 0.004371635703 0.004309765155 0.2155558794 0.004371635703
0.48 10.00155455 0.1034860769 0.1021050699 10.00208992 0.01034662997 0.002077377812 0.2155879838 0.004371026054 0.004307835914 0.2155549508 0.004371026054
0.49 10.00157508 0.1056419542 0.1021487771 10.00213299 0.01056213895 0.002028996901 0.215587478 0.004370416151 0.004305906287 0.2155540226 0.004370416151
0.5 10.00159513 0.1077978264 0.1021924782 10.00217603 0.01077764608 0.001980616314 0.2155869618 0.004369805991 0.004303976274 0.2155530949 0.004369805991
0.51 10.00161469 0.1099536933 0.1022361732 10.00221906 0.01099315135 0.001932236052 0.2155864351 0.004369195576 0.004302045874 0.2155521676 0.004369195576
