# t ax ay az
0 -3.702949385e-19 -0.006047375271 -0.0001399855387
0.01 1.629749275e-06 -0.00604734029 -0.0001400250197
0.02 3.259461788e-06 -0.006047304888 -0.0001400644877
0.03 4.889137446e-06 -0.006047269065 -0.0001401039425
0.04 6.518776155e-06 -0.006047232821 -0.0001401433841
0.05 8.148377822e-06 -0.006047196156 -0.0001401828126
0.06 9.777942354e-06 -0.006047159071 -0.000140222228
0.07 1.140746966e-05 -0.006047121565 -0.0001402616302
0.08 1.303695964e-05 -0.006047083639 -0.0001403010193
0.09 1.466641221e-05 -0.006047045291 -0.0001403403952
0.1 1.629582727e-05 -0.006047006523 -0.000140379758
0.11 1.792520473e-05 -0.006046967335 -0.0001404191076
0.12 1.955454449e-05 -0.006046927726 -0.0001404584441
0.13 2.118384647e-05 -0.006046887696 -0.0001404977674
0.14 2.281311057e-05 -0.006046847246 -0.0001405370775
0.15 2.444233669e-05 -0.006046806375 -0.0001405763745
0.16 2.607152475e-05 -0.006046765084 -0.0001406156583
0.17 2.770067465e-05 -0.006046723372 -0.0001406549289
0.18 2.93297863e-05 -0.00604668124 -0.0001406941864
0.19 3.09588596e-05 -0.006046638688 -0.0001407334307
0.2 3.258789446e-05 -0.006046595715 -0.0001407726618
0.21 3.42168908e-05 -0.006046552322 -0.0001408118798
0.22 3.584584851e-05 -0.006046508508 -0.0001408510846
0.23 3.74747675e-05 -0.006046464275 -0.0001408902762
0.24 3.910364768e-05 -0.006046419621 -0.0001409294546
0.25 4.073248896e-05 -0.006046374546 -0.0001409686198
0.26 4.236129124e-05 -0.006046329052 -0.0001410077718
0.27 4.399005444e-05 -0.006046283137 -0.0001410469107
0.28 4.561877845e-05 -0.006046236803 -0.0001410860363
0.29 4.72474632e-05 -0.006046190048 -0.0001411251488
0.3 4.887610857e-05 -0.006046142873 -0.000141164248
0.31 5.050471448e-05 -0.006046095278 -0.0001412033341
0.32 5.213328084e-05 -0.006046047263 -0.0001412424069
0.33 5.376180756e-05 -0.006045998828 -0.0001412814666
0.34 5.539029454e-05 -0.006045949973 -0.000141320513
0.35 5.701874169e-05 -0.006045900698 -0.0001413595463
0.36 5.864714891e-05 -0.006045851003 -0.0001413985663
0.37 6.027551612e-05 -0.006045800888 -0.0001414375731
0.38 6.190384322e-05 -0.006045750353 -0.0001414765667
0.39 6.353213012e-05 -0.006045699399 -0.0001415155471
0.4 6.516037673e-05 -0.006045648024 -0.0001415545142
0.41 6.678858295e-05 -0.00604559623 -0.0001415934681
0.42 6.841674869e-05 -0.006045544016 -0.0001416324088
0.43 7.004487386e-05 -0.006045491382 -0.0001416713363
0.44 7.167295836e-05 -0.006045438329 -0.0001417102506
0.45 7.330100211e-05 -0.006045384856 -0.0001417491516
0.46 7.4929005e-05 -0.006045330963 -0.0001417880394
0.47 7.655696696e-05 -0.00604527665 -0.0001418269139
0.48 7.818488788e-05 -0.006045221918 -0.0001418657752
0.49 7.981276768e-05 -0.006045166767 -0.0001419046233
0.5 8.144060625e-05 -0.006045111195 -0.0001419434581
0.51 8.306840352e-05 -0.006045055205 -0.0001419822797
0.52 8.469615938e-05 -0.006044998794 -0.0001420210881
