# t x y z R phi vx vy vz vR vphi vz_cyl
0 7.071067812 7.071067812 0.2 10 0.7853981634 -0.1493409522 0.1555634919 0.0044 0.0044 0.2156 0.0044
0.01 7.069574231 7.072623276 0.200043994 10.00004399 0.7856137624 -0.1493751555 0.1555292812 0.004398805402 0.004398107054 0.2155990516 0.004398805402
0.02 7.068080309 7.074178397 0.2000879761 10.00008796 0.7858293596 -0.1494093513 0.1554950633 0.004397610552 0.004396213718 0.2155981036 0.004397610552
0.03 7.066586044 7.075733177 0.2001319462 10.00013191 0.7860449549 -0.1494435395 0.1554608382 0.004396415451 0.004394319992 0.215597156 0.004396415451
0.04 7.065091438 7.077287614 0.2001759044 10.00017585 0.7862605482 -0.1494777202 0.1554266058 0.004395220097 0.004392425876 0.2155962088 0.004395220097
0.05 7.06359649 7.078841709 0.2002198506 10.00021976 0.7864761397 -0.1495118934 0.1553923663 0.004394024492 0.004390531371 0.215595262 0.004394024492
0.06 7.0621012 7.080395461 0.2002637849 10.00026366 0.7866917293 -0.149546059 0.1553581196 0.004392828635 0.004388636475 0.2155943157 0.004392828635
0.07 7.060605569 7.081948871 0.2003077072 10.00030754 0.786907317 -0.1495802171 0.1553238656 0.004391632527 0.004386741191 0.2155933697 0.004391632527
0.08 7.059109596 7.083501939 0.2003516176 10.00035139 0.7871229027 -0.1496143676 0.1552896044 0.004390436167 0.004384845517 0.2155924242 0.004390436167
0.09 7.057613282 7.085054663 0.2003955159 10.00039523 0.7873384867 -0.1496485106 0.1552553361 0.004389239555 0.004382949455 0.2155914791 0.004389239555
0.1 7.056116626 7.086607045 0.2004394023 10.00043905 0.7875540687 -0.1496826461 0.1552210605 0.004388042692 0.004381053003 0.2155905344 0.004388042692
0.11 7.054619629 7.088159085 0.2004832768 10.00048285 0.7877696488 -0.149716774 0.1551867778 0.004386845578 0.004379156163 0.2155895902 0.004386845578
0.12 7.05312229 7.089710781 0.2005271393 10.00052664 0.787985227 -0.1497508943 0.1551524878 0.004385648213 0.004377258935 0.2155886463 0.004385648213
0.13 7.051624611 7.091262134 0.2005709897 10.0005704 0.7882008034 -0.1497850071 0.1551181906 0.004384450596 0.004375361318 0.2155877029 0.004384450596
0.14 7.05012659 7.092813145 0.2006148283 10.00061414 0.7884163778 -0.1498191124 0.1550838863 0.004383252729 0.004373463313 0.2155867599 0.004383252729
0.15 7.048628229 7.094363812 0.2006586548 10.00065787 0.7886319504 -0.1498532101 0.1550495747 0.00438205461 0.00437156492 0.2155858173 0.00438205461
0.16 7.047129526 7.095914136 0.2007024694 10.00070157 0.7888475211 -0.1498873002 0.155015256 0.004380856241 0.00436966614 0.2155848751 0.004380856241
0.17 7.045630483 7.097464117 0.2007462719 10.00074526 0.7890630899 -0.1499213828 0.15498093 0.00437965762 0.004367766972 0.2155839334 0.00437965762
0.18 7.044131098 7.099013755 0.2007900625 10.00078893 0.7892786568 -0.1499554579 0.1549465969 0.004378458749 0.004365867416 0.215582992 0.004378458749
0.19 7.042631373 7.100563049 0.2008338411 10.00083258 0.7894942219 -0.1499895254 0.1549122566 0.004377259627 0.004363967474 0.2155820511 0.004377259627
0.2 7.041131308 7.102112 0.2008776077 10.00087621 0.789709785 -0.1500235853 0.1548779091 0.004376060254 0.004362067144 0.2155811106 0.004376060254
0.21 7.039630902 7.103660607 0.2009213623 10.00091982 0.7899253463 -0.1500576376 0.1548435544 0.004374860631 0.004360166428 0.2155801705 0.004374860631
0.22 7.038130155 7.105208871 0.2009651049 10.00096341 0.7901409057 -0.1500916824 0.1548091926 0.004373660757 0.004358265325 0.2155792308 0.004373660757
0.23 7.036629068 7.106756791 0.2010088355 10.00100699 0.7903564633 -0.1501257197 0.1547748235 0.004372460633 0.004356363835 0.2155782916 0.004372460633
0.24 7.035127641 7.108304367 0.2010525541 10.00105054 0.7905720189 -0.1501597493 0.1547404473 0.004371260259 0.00435446196 0.2155773527 0.004371260259
0.25 7.033625873 7.1098516 0.2010962607 10.00109408 0.7907875727 -0.1501937715 0.1547060639 0.004370059634 0.004352559698 0.2155764143 0.004370059634
0.26 7.032123765 7.111398489 0.2011399553 10.00113759 0.7910031246 -0.150227786 0.1546716733 0.004368858759 0.00435065705 0.2155754763 0.004368858759
0.27 7.030621318 7.112945033 0.2011836379 10.00118109 0.7912186746 -0.150261793 0.1546372756 0.004367657633 0.004348754017 0.2155745387 0.004367657633
0.28 7.02911853 7.114491234 0.2012273085 10.00122457 0.7914342227 -0.1502957924 0.1546028706 0.004366456258 0.004346850598 0.2155736016 0.004366456258
