# t Lx Ly Lz KE PE E dE dLz
0 -0.02156 -0.04356 2.156 0.02326104 0.111448106 0.134709146 0 0
0.01 -0.02156000012 -0.04355886458 2.156 0.02326082448 0.1114483215 0.134709146 6.181222978e-16 0
0.02 -0.02156000049 -0.04355772867 2.156 0.02326060906 0.1114485369 0.134709146 1.442285362e-15 0
0.03 -0.0215600011 -0.04355659227 2.156 0.02326039373 0.1114487522 0.134709146 2.060407659e-15 2.059782977e-16
0.04 -0.02156000196 -0.04355545537 2.156 0.02326017849 0.1114489675 0.134709146 2.678529957e-15 0
0.05 -0.02156000306 -0.04355431798 2.156 0.02325996335 0.1114491826 0.134709146 3.502693021e-15 2.059782977e-16
0.06 -0.02156000441 -0.04355318009 2.156 0.02325974829 0.1114493977 0.134709146 4.120815319e-15 2.059782977e-16
0.07 -0.02156000601 -0.04355204172 2.156 0.02325953333 0.1114496126 0.134709146 4.944978383e-15 0
0.08 -0.02156000785 -0.04355090284 2.156 0.02325931847 0.1114498275 0.134709146 5.563100681e-15 0
0.09 -0.02156000994 -0.04354976348 2.156 0.02325910369 0.1114500423 0.134709146 6.387263744e-15 0
0.1 -0.02156001227 -0.04354862362 2.156 0.02325888901 0.111450257 0.134709146 7.005386042e-15 0
0.11 -0.02156001485 -0.04354748327 2.156 0.02325867442 0.1114504715 0.134709146 7.62350834e-15 0
0.12 -0.02156001768 -0.04354634242 2.156 0.02325845993 0.111450686 0.134709146 8.447671404e-15 0
0.13 -0.02156002076 -0.04354520108 2.156 0.02325824552 0.1114509004 0.134709146 9.271834468e-15 0
0.14 -0.02156002408 -0.04354405925 2.156 0.02325803121 0.1114511148 0.134709146 9.683915999e-15 0
0.15 -0.02156002765 -0.04354291693 2.156 0.023257817 0.111451329 0.134709146 1.050807906e-14 0
0.16 -0.02156003147 -0.04354177411 2.156 0.02325760287 0.1114515431 0.134709146 1.133224213e-14 0
0.17 -0.02156003554 -0.0435406308 2.156 0.02325738884 0.1114517571 0.134709146 1.195036442e-14 0
0.18 -0.02156003985 -0.043539487 2.156 0.0232571749 0.1114519711 0.134709146 1.256848672e-14 2.059782977e-16
0.19 -0.02156004442 -0.04353834271 2.156 0.02325696106 0.1114521849 0.134709146 1.339264979e-14 0
0.2 -0.02156004923 -0.04353719792 2.156 0.0232567473 0.1114523987 0.134709146 1.401077208e-14 0
0.21 -0.02156005429 -0.04353605265 2.156 0.02325653364 0.1114526123 0.134709146 1.462889438e-14 0
0.22 -0.0215600596 -0.04353490688 2.156 0.02325632008 0.1114528259 0.134709146 1.545305745e-14 0
0.23 -0.02156006516 -0.04353376062 2.156 0.0232561066 0.1114530394 0.134709146 1.607117974e-14 0
0.24 -0.02156007097 -0.04353261387 2.156 0.02325589322 0.1114532527 0.134709146 1.668930204e-14 0
0.25 -0.02156007703 -0.04353146662 2.156 0.02325567994 0.111453466 0.134709146 1.730742434e-14 -2.059782977e-16
0.26 -0.02156008334 -0.04353031889 2.156 0.02325546674 0.1114536792 0.134709146 1.81315874e-14 -2.059782977e-16
0.27 -0.0215600899 -0.04352917066 2.156 0.02325525364 0.1114538923 0.134709146 1.87497097e-14 -4.119565954e-16
0.28 -0.02156009671 -0.04352802195 2.156 0.02325504064 0.1114541053 0.134709146 1.9367832e-14 -4.119565954e-16
0.29 -0.02156010377 -0.04352687274 2.156 0.02325482772 0.1114543183 0.134709146 2.039803583e-14 -4.119565954e-16
0.3 -0.02156011108 -0.04352572304 2.156 0.0232546149 0.1114545311 0.134709146 2.101615813e-14 -4.119565954e-16
0.31 -0.02156011864 -0.04352457285 2.156 0.02325440217 0.1114547438 0.134709146 2.163428042e-14 -4.119565954e-16
0.32 -0.02156012646 -0.04352342217 2.156 0.02325418954 0.1114549564 0.134709146 2.245844349e-14 -4.119565954e-16
0.33 -0.02156013452 -0.043522271 2.156 0.02325397699 0.111455169 0.134709146 2.307656579e-14 -4.119565954e-16
0.34 -0.02156014284 -0.04352111934 2.156 0.02325376455 0.1114553814 0.134709146 2.369468808e-14 -6.179348931e-16
