# t ax ay az
0 -0.003420707583 -0.003420707583 -0.0001194471866
0.01 -0.003419954229 -0.003421429225 -0.0001194723848
0.02 -0.003419200737 -0.003422150702 -0.0001194975759
0.03 -0.003418447106 -0.003422872013 -0.0001195227599
0.04 -0.003417693336 -0.003423593159 -0.0001195479367
0.05 -0.003416939427 -0.003424314139 -0.0001195731064
0.06 -0.003416185379 -0.003425034953 -0.000119598269
0.07 -0.003415431192 -0.003425755601 -0.0001196234244
0.08 -0.003414676866 -0.003426476084 -0.0001196485726
0.09 -0.003413922402 -0.0034271964 -0.0001196737137
0.1 -0.003413167799 -0.003427916551 -0.0001196988477
0.11 -0.003412413057 -0.003428636536 -0.0001197239745
0.12 -0.003411658176 -0.003429356356 -0.0001197490941
0.13 -0.003410903157 -0.003430076009 -0.0001197742067
0.14 -0.003410147999 -0.003430795497 -0.000119799312
0.15 -0.003409392703 -0.003431514818 -0.0001198244102
0.16 -0.003408637268 -0.003432233974 -0.0001198495013
0.17 -0.003407881695 -0.003432952963 -0.0001198745852
0.18 -0.003407125983 -0.003433671787 -0.0001198996619
0.19 -0.003406370133 -0.003434390445 -0.0001199247315
0.2 -0.003405614144 -0.003435108937 -0.0001199497939
0.21 -0.003404858017 -0.003435827262 -0.0001199748492
0.22 -0.003404101752 -0.003436545422 -0.0001199998973
0.23 -0.003403345348 -0.003437263416 -0.0001200249383
0.24 -0.003402588806 -0.003437981243 -0.0001200499721
0.25 -0.003401832126 -0.003438698904 -0.0001200749987
0.26 -0.003401075308 -0.0034394164 -0.0001201000182
0.27 -0.003400318351 -0.003440133729 -0.0001201250305
0.28 -0.003399561257 -0.003440850892 -0.0001201500356
0.29 -0.003398804024 -0.003441567889 -0.0001201750336
0.3 -0.003398046654 -0.003442284719 -0.0001202000244
0.31 -0.003397289145 -0.003443001384 -0.000120225008
0.32 -0.003396531498 -0.003443717882 -0.0001202499845
0.33 -0.003395773714 -0.003444434214 -0.0001202749538
0.34 -0.003395015791 -0.003445150379 -0.0001202999159
0.35 -0.003394257731 -0.003445866379 -0.0001203248709
0.36 -0.003393499532 -0.003446582212 -0.0001203498187
0.37 -0.003392741196 -0.003447297878 -0.0001203747593
0.38 -0.003391982723 -0.003448013379 -0.0001203996928
0.39 -0.003391224111 -0.003448728713 -0.0001204246191
0.4 -0.003390465362 -0.00344944388 -0.0001204495382
0.41 -0.003389706475 -0.003450158881 -0.0001204744501
0.42 -0.00338894745 -0.003450873716 -0.0001204993548
0.43 -0.003388188288 -0.003451588384 -0.0001205242524
0.44 -0.003387428989 -0.003452302886 -0.0001205491428
0.45 -0.003386669551 -0.003453017222 -0.000120574026
0.46 -0.003385909977 -0.00345373139 -0.000120598902
0.47 -0.003385150264 -0.003454445393 -0.0001206237709
0.48 -0.003384390415 -0.003455159229 -0.0001206486325
0.49 -0.003383630428 -0.003455872898 -0.000120673487
0.5 -0.003382870304 -0.0034565864 -0.0001206983343
0.51 -0.003382110042 -0.003457299736 -0.0001207231744
0.52 -0.003381349643 -0.003458012906 -0.0001207480073
0.53 -0.003380589107 -0.003458725909 -0.0001207728331
0.54 -0.003379828433 -0.003459438745 -0.0001207976516
0.55 -0.003379067623 -0.003460151414 -0.000120822463
0.56 -0.003378306675 -0.003460863917 -0.0001208472672
0.57 -0.00337754559 -0.003461576253 -0.0001208720642
0.58 -0.003376784368 -0.003462288422 -0.0001208968539
0.59 -0.003376023009 -0.003463000425 -0.0001209216365
0.6 -0.003375261513 -0.003463712261 -0.000120946412
0.61 -0.00337449988 -0.00346442393 -0.0001209711802
0.62 -0.003373738111 -0.003465135432 -0.0001209959412
0.63 -0.003372976204 -0.003465846767 -0.000121020695
0.64 -0.00337221416 -0.003466557936 -0.0001210454416
0.65 -0.00337145198 -0.003467268938 -0.000121070181
