# t Lx Ly Lz KE PE E dE dLz
0 0.03454 -0.03234 1.7248 0.02326104 0.1006554718 0.1239165118 0 0
0.01 0.03453787191 -0.03234000029 1.7248 0.02326076783 0.100655744 0.1239165118 1.343916571e-15 -1.287364361e-16
0.02 0.03453574322 -0.03234000115 1.7248 0.0232604958 0.100656016 0.1239165118 2.575840095e-15 -1.287364361e-16
0.03 0.03453361391 -0.03234000258 1.7248 0.02326022392 0.1006562879 0.1239165118 4.143742762e-15 -2.574728721e-16
0.04 0.03453148399 -0.03234000459 1.7248 0.02325995219 0.1006565596 0.1239165118 5.375666286e-15 -2.574728721e-16
0.05 0.03452935346 -0.03234000717 1.7248 0.02325968059 0.1006568312 0.1239165118 6.943568952e-15 -3.862093082e-16
0.06 0.03452722232 -0.03234001033 1.7248 0.02325940915 0.1006571027 0.1239165118 8.399478571e-15 -2.574728721e-16
0.07 0.03452509057 -0.03234001407 1.7248 0.02325913785 0.100657374 0.1239165118 9.743395143e-15 -2.574728721e-16
0.08 0.03452295821 -0.03234001838 1.7248 0.02325886669 0.1006576451 0.1239165118 1.108731171e-14 -3.862093082e-16
0.09 0.03452082524 -0.03234002326 1.7248 0.02325859568 0.1006579161 0.1239165118 1.265521438e-14 -2.574728721e-16
0.1 0.03451869166 -0.03234002873 1.7248 0.02325832482 0.100658187 0.1239165118 1.399913095e-14 -1.287364361e-16
0.11 0.03451655748 -0.03234003476 1.7248 0.0232580541 0.1006584577 0.1239165118 1.523105448e-14 -2.574728721e-16
0.12 0.03451442268 -0.03234004138 1.7248 0.02325778353 0.1006587283 0.1239165118 1.679895714e-14 -2.574728721e-16
0.13 0.03451228728 -0.03234004857 1.7248 0.0232575131 0.1006589987 0.1239165118 1.814287371e-14 -2.574728721e-16
0.14 0.03451015127 -0.03234005634 1.7248 0.02325724282 0.100659269 0.1239165118 1.959878333e-14 -3.862093082e-16
0.15 0.03450801466 -0.03234006469 1.7248 0.02325697268 0.1006595391 0.1239165118 2.083070686e-14 -5.149457443e-16
0.16 0.03450587743 -0.03234007362 1.7248 0.02325670269 0.1006598091 0.1239165118 2.251060257e-14 -3.862093082e-16
0.17 0.03450373961 -0.03234008313 1.7248 0.02325643284 0.100660079 0.1239165118 2.385451914e-14 -3.862093082e-16
0.18 0.03450160117 -0.03234009321 1.7248 0.02325616314 0.1006603487 0.1239165118 2.531042876e-14 -2.574728721e-16
0.19 0.03449946213 -0.03234010387 1.7248 0.02325589359 0.1006606182 0.1239165118 2.676633838e-14 -2.574728721e-16
0.2 0.03449732249 -0.03234011512 1.7248 0.02325562418 0.1006608876 0.1239165118 2.811025495e-14 -2.574728721e-16
0.21 0.03449518224 -0.03234012694 1.7248 0.02325535492 0.1006611569 0.1239165118 2.945417152e-14 -3.862093082e-16
0.22 0.03449304138 -0.03234013934 1.7248 0.0232550858 0.100661426 0.1239165118 3.079808809e-14 -3.862093082e-16
0.23 0.03449089992 -0.03234015233 1.7248 0.02325481683 0.100661695 0.1239165118 3.236599076e-14 -3.862093082e-16
0.24 0.03448875786 -0.03234016589 1.7248 0.02325454801 0.1006619638 0.1239165118 3.370990733e-14 -3.862093082e-16
0.25 0.0344866152 -0.03234018004 1.7248 0.02325427933 0.1006622325 0.1239165118 3.527781e-14 -2.574728721e-16
0.26 0.03448447193 -0.03234019477 1.7248 0.02325401079 0.100662501 0.1239165118 3.673371962e-14 -2.574728721e-16
0.27 0.03448232806 -0.03234021007 1.7248 0.02325374241 0.1006627694 0.1239165118 3.796564314e-14 -1.287364361e-16
0.28 0.03448018358 -0.03234022597 1.7248 0.02325347416 0.1006630376 0.1239165118 3.930955971e-14 -2.574728721e-16
0.29 0.03447803851 -0.03234024244 1.7248 0.02325320607 0.1006633057 0.1239165118 4.087746238e-14 -2.574728721e-16
