# t x y z R phi vx vy vz vR vphi vz_cyl
0 4.898587197e-16 8 0.15 8 1.570796327 -0.2156 0.0044 0.0044 0.0044 0.2156 0.0044
0.01 -0.002155999959 8.000043698 0.150043993 8.000043988 1.571065825 -0.2155999919 0.004339526422 0.004398599947 0.004397630142 0.2155988145 0.004398599947
0.02 -0.004311999756 8.000086791 0.150087972 8.000087953 1.571335321 -0.2155999674 0.004279053196 0.0043971995 0.004395259673 0.2155976297 0.0043971995
0.03 -0.006467999226 8.000129279 0.150131937 8.000131893 1.571604813 -0.2155999267 0.004218580327 0.004395798658 0.004392888594 0.2155964455 0.004395798658
0.04 -0.008623998207 8.000171162 0.150175888 8.00017581 1.571874303 -0.2155998696 0.004158107817 0.004394397421 0.004390516905 0.215595262 0.004394397421
0.05 -0.01077999654 8.000212441 0.1502198249 8.000219704 1.57214379 -0.2155997963 0.004097635672 0.00439299579 0.004388144606 0.2155940791 0.00439299579
0.06 -0.01293599405 8.000253115 0.1502637479 8.000263573 1.572413273 -0.2155997067 0.004037163896 0.004391593765 0.004385771698 0.2155928969 0.004391593765
0.07 -0.01509199059 8.000293184 0.1503076568 8.000307419 1.572682754 -0.2155996007 0.003976692493 0.004390191345 0.004383398182 0.2155917154 0.004390191345
0.08 -0.01724798598 8.000332649 0.1503515517 8.000351241 1.572952232 -0.2155994785 0.003916221467 0.004388788532 0.004381024056 0.2155905345 0.004388788532
0.09 -0.01940398008 8.000371509 0.1503954326 8.00039504 1.573221707 -0.21559934 0.003855750823 0.004387385325 0.004378649323 0.2155893542 0.004387385325
0.1 -0.0215599727 8.000409764 0.1504392994 8.000438814 1.573491179 -0.2155991852 0.003795280564 0.004385981724 0.004376273982 0.2155881746 0.004385981724
0.11 -0.0237159637 8.000447414 0.1504831522 8.000482565 1.573760648 -0.2155990141 0.003734810694 0.00438457773 0.004373898033 0.2155869957 0.00438457773
0.12 -0.0258719529 8.00048446 0.150526991 8.000526292 1.574030114 -0.2155988267 0.003674341219 0.004383173342 0.004371521477 0.2155858174 0.004383173342
0.13 -0.02802794015 8.000520901 0.1505708157 8.000569995 1.574299577 -0.215598623 0.003613872142 0.004381768561 0.004369144314 0.2155846397 0.004381768561
