# Radial perturbation strength profile
# R_CR = 10 kpc
# radial_envelope_sigma = 2 kpc
# radial_envelope_floor = 0
# snapshot_time = 2500 Myr
# time_scale = 1
#
# Columns:
# 1  R [kpc]
# 2  B_norm = B(R) / B(R_CR)
# 3  B_raw
# 4  dB_dR
# 5  PhiS_norm = PhiS(R) / PhiS(R_CR)
# 6  A_norm = A(R) / A(R_CR)
# 7  Lz_circ = R * v_c [kpc^2/Myr]
1.07	4.68709e-05	4.68709e-05	0.000104639	3.80788	0.000178479	0.2354
1.08	4.79285e-05	4.79285e-05	0.000106881	3.82813	0.000183476	0.2376
1.09	4.90087e-05	4.90087e-05	0.000109167	3.84815	0.000188593	0.2398
1.1	5.0112e-05	5.0112e-05	0.000111499	3.86795	0.000193831	0.242
1.11	5.12389e-05	5.12389e-05	0.000113878	3.88753	0.000199193	0.2442
1.12	5.23897e-05	5.23897e-05	0.000116305	3.9069	0.000204681	0.2464
1.13	5.35651e-05	5.35651e-05	0.000118781	3.92604	0.000210299	0.2486
1.14	5.47655e-05	5.47655e-05	0.000121306	3.94498	0.000216049	0.2508
1.15	5.59914e-05	5.59914e-05	0.000123881	3.9637	0.000221933	0.253
1.16	5.72433e-05	5.72433e-05	0.000126508	3.9822	0.000227954	0.2552
1.17	5.85217e-05	5.85217e-05	0.000129187	4.0005	0.000234116	0.2574
1.18	5.98272e-05	5.98272e-05	0.000131919	4.01858	0.000240421	0.2596
1.19	6.11603e-05	6.11603e-05	0.000134706	4.03646	0.000246871	0.2618
1.2	6.25215e-05	6.25215e-05	0.000137547	4.05413	0.00025347	0.264
1.21	6.39114e-05	6.39114e-05	0.000140445	4.0716	0.000260222	0.2662
1.22	6.53306e-05	6.53306e-05	0.000143401	4.08886	0.000267128	0.2684
1.23	6.67796e-05	6.67796e-05	0.000146414	4.10592	0.000274192	0.2706
1.24	6.82591e-05	6.82591e-05	0.000149487	4.12277	0.000281417	0.2728
1.25	6.97696e-05	6.97696e-05	0.000152621	4.13943	0.000288806	0.275
1.26	7.13117e-05	7.13117e-05	0.000155816	4.15589	0.000296364	0.2772
1.27	7.28861e-05	7.28861e-05	0.000159074	4.17215	0.000304092	0.2794
1.28	7.44934e-05	7.44934e-05	0.000162396	4.18822	0.000311994	0.2816
