# x	y	|∇Phi_eff|
0.3 -20 0.0121009
0.4 -20 0.0121016
0.5 -20 0.0121024
0.6 -20 0.0121034
0.7 -20 0.0121046
0.8 -20 0.0121059
0.9 -20 0.0121075
1 -20 0.0121092
1.1 -20 0.0121111
1.2 -20 0.0121132
1.3 -20 0.0121154
1.4 -20 0.0121179
1.5 -20 0.0121205
1.6 -20 0.0121233
1.7 -20 0.0121263
1.8 -20 0.0121295
1.9 -20 0.0121328
2 -20 0.0121364
2.1 -20 0.0121401
2.2 -20 0.012144
2.3 -20 0.0121481
2.4 -20 0.0121523
2.5 -20 0.0121567
2.6 -20 0.0121614
2.7 -20 0.0121662
2.8 -20 0.0121711
2.9 -20 0.0121763
3 -20 0.0121816
3.1 -20 0.0121871
3.2 -20 0.0121928
3.3 -20 0.0121987
3.4 -20 0.0122047
3.5 -20 0.012211
3.6 -20 0.0122174
3.7 -20 0.012224
3.8 -20 0.0122307
3.9 -20 0.0122377
4 -20 0.0122448
4.1 -20 0.0122521
4.2 -20 0.0122596
4.3 -20 0.0122672
4.4 -20 0.012275
4.5 -20 0.0122831
4.6 -20 0.0122912
4.7 -20 0.0122996
4.8 -20 0.0123081
4.9 -20 0.0123168
5 -20 0.0123257
5.1 -20 0.0123348
5.2 -20 0.012344
5.3 -20 0.0123535
5.4 -20 0.012363
5.5 -20 0.0123728
5.6 -20 0.0123827
5.7 -20 0.0123929
5.8 -20 0.0124031
5.9 -20 0.0124136
6 -20 0.0124242
6.1 -20 0.012435
6.2 -20 0.012446
6.3 -20 0.0124572
6.4 -20 0.0124685
6.5 -20 0.01248
6.6 -20 0.0124916
6.7 -20 0.0125035
6.8 -20 0.0125155
6.9 -20 0.0125276
7 -20 0.01254
7.1 -20 0.0125525
7.2 -20 0.0125652
7.3 -20 0.012578
7.4 -20 0.012591
7.5 -20 0.0126042
7.6 -20 0.0126176
7.7 -20 0.0126311
7.8 -20 0.0126448
7.9 -20 0.0126586
8 -20 0.0126727
8.1 -20 0.0126868
8.2 -20 0.0127012
8.3 -20 0.0127157
8.4 -20 0.0127304
8.5 -20 0.0127452
8.6 -20 0.0127602
8.7 -20 0.0127754
8.8 -20 0.0127907
8.9 -20 0.0128062
9 -20 0.0128219
9.1 -20 0.0128377
9.2 -20 0.0128536
9.3 -20 0.0128698
9.4 -20 0.0128861
9.5 -20 0.0129025
9.6 -20 0.0129191
9.7 -20 0.0129359
9.8 -20 0.0129528
9.9 -20 0.0129699
10 -20 0.0129871
10.1 -20 0.0130045
10.2 -20 0.0130221
10.3 -20 0.0130398
10.4 -20 0.0130576
10.5 -20 0.0130756
10.6 -20 0.0130938
10.7 -20 0.0131121
10.8 -20 0.0131306
10.9 -20 0.0131492
11 -20 0.013168
11.1 -20 0.0131869
11.2 -20 0.013206
11.3 -20 0.0132252
11.4 -20 0.0132446
11.5 -20 0.0132641
11.6 -20 0.0132838
11.7 -20 0.0133036
11.8 -20 0.0133235
11.9 -20 0.0133436
12 -20 0.0133639
12.1 -20 0.0133843
12.2 -20 0.0134048
12.3 -20 0.0134255
12.4 -20 0.0134463
12.5 -20 0.0134673
12.6 -20 0.0134884
12.7 -20 0.0135097
12.8 -20 0.0135311
12.9 -20 0.0135526
13 -20 0.0135743
13.1 -20 0.0135961
13.2 -20 0.013618
13.3 -20 0.0136401
13.4 -20 0.0136623
13.5 -20 0.0136847
13.6 -20 0.0137072
13.7 -20 0.0137298
13.8 -20 0.0137526
13.9 -20 0.0137755
14 -20 0.0137985
14.1 -20 0.0138217
14.2 -20 0.013845
14.3 -20 0.0138684
14.4 -20 0.013892
14.5 -20 0.0139156
14.6 -20 0.0139395
14.7 -20 0.0139634
14.8 -20 0.0139875
14.9 -20 0.0140117
15 -20 0.014036
15.1 -20 0.0140605
15.2 -20 0.0140851
15.3 -20 0.0141098
15.4 -20 0.0141346
15.5 -20 0.0141595
15.6 -20 0.0141846
15.7 -20 0.0142098
15.8 -20 0.0142352
15.9 -20 0.0142606
16 -20 0.0142862
16.1 -20 0.0143118
16.2 -20 0.0143377
16.3 -20 0.0143636
16.4 -20 0.0143896
16.5 -20 0.0144158
16.6 -20 0.0144421
16.7 -20 0.0144685
16.8 -20 0.014495
16.9 -20 0.0145216
17 -20 0.0145483
17.1 -20 0.0145752
17.2 -20 0.0146021
17.3 -20 0.0146292
17.4 -20 0.0146564
17.5 -20 0.0146837
17.6 -20 0.0147111
17.7 -20 0.0147387
17.8 -20 0.0147663
17.9 -20 0.014794
18 -20 0.0148219
18.1 -20 0.0148498
18.2 -20 0.0148779
18.3 -20 0.0149061
18.4 -20 0.0149344
18.5 -20 0.0149627
18.6 -20 0.0149912
18.7 -20 0.0150198
18.8 -20 0.0150485
18.9 -20 0.0150773
19 -20 0.0151062
19.1 -20 0.0151352
19.2 -20 0.0151643
19.3 -20 0.0151936
19.4 -20 0.0152229
19.5 -20 0.0152523
19.6 -20 0.0152818
19.7 -20 0.0153114
19.8 -20 0.0153411
19.9 -20 0.0153709

-20 -19.9 0.0153709
-19.9 -19.9 0.0153409
-19.8 -19.9 0.0153111
-19.7 -19.9 0.0152813
-19.6 -19.9 0.0152517
