# R  L  v_R  v_phi   x  y
2.86265 0.631322 -0.00586794 0.220538 2.79146 -0.634463
3.14696 0.718174 0.0179082 0.228212 2.59418 -1.78146
9.68921 2.07381 0.000737073 0.214032 -4.30365 8.68098
3.21897 0.715641 0.0113425 0.22232 2.06109 2.47258
5.85895 1.26192 0.0128162 0.215383 -4.51831 3.7299
5.08205 1.08383 0.00355076 0.213266 3.80913 -3.36419
3.46839 0.785189 -0.00626048 0.226384 2.56157 2.33839
2.56976 0.566503 -0.0162155 0.22045 -1.59228 2.017
4.7038 1.0595 -0.00248433 0.225244 -3.34982 -3.30218
11.6824 2.57554 0.00195866 0.220464 9.39141 -6.9483
6.39728 1.43373 0.00773499 0.224116 -4.80305 -4.22563
3.90668 0.910418 -0.0164937 0.233042 -1.87026 3.4299
4.6584 1.0172 -0.000785606 0.218358 4.18487 -2.04634
3.924 0.815667 -0.0114134 0.207866 3.73707 1.1967
2.28273 0.534565 -0.00292367 0.234178 -0.846216 2.12009
8.64109 1.96343 0.00574425 0.22722 0.734065 -8.60985
5.35612 1.19634 -0.00812782 0.22336 -0.902022 5.27962
4.37237 0.961633 -0.0034558 0.219934 4.37192 -0.0626887
10.3891 2.29308 -0.00323349 0.22072 3.09664 -9.91689
6.6246 1.45614 0.00354389 0.219809 -1.67213 6.41009
10.3474 2.29893 0.000555725 0.222174 -9.35513 -4.42159
3.05775 0.676046 0.027946 0.221093 -1.64152 2.57977
11.75 2.62009 0.00174888 0.222986 -9.12473 7.40285
11.944 2.56173 0.00160589 0.214478 3.02656 11.5542
4.40308 0.999844 0.000210683 0.227079 2.87549 3.33446
5.85088 1.30561 -0.00951078 0.223147 -4.29878 -3.96903
12.5359 2.7214 0.0041894 0.217088 1.98068 12.3785
19.5046 4.32334 -0.00152226 0.221658 -5.86747 18.6011
4.22762 0.962291 0.0194585 0.22762 -4.14783 -0.817492
5.46389 1.23914 -0.0198888 0.226787 4.92185 -2.37265
2.6388 0.556618 -0.00273521 0.210936 2.2538 -1.37246
2.7917 0.638965 0.0303144 0.22888 1.43007 -2.3976
4.62758 0.93319 -0.00911107 0.201658 4.38574 1.47639
4.67433 1.04714 0.00432494 0.22402 -4.22261 2.00472
4.02459 0.87157 -0.011876 0.216561 0.99972 3.89845
2.86033 0.577397 0.0136323 0.201864 2.37826 1.58913
3.21533 0.654968 -0.00484819 0.203702 -0.683289 3.14189
5.30869 1.14068 -0.00985636 0.21487 -5.21347 1.001
2.83612 0.623445 0.0221331 0.219823 2.62853 1.06508
2.29299 0.470784 0.0128229 0.205314 2.23205 0.525154
4.75415 0.993817 0.0102006 0.209042 1.81811 -4.39277
3.99685 0.852023 0.00731649 0.213174 -3.91337 -0.8126
2.86641 0.648969 0.00308931 0.226404 0.341868 -2.84595
3.5019 0.76539 -0.0209088 0.218564 -3.22806 -1.35755
2.86718 0.621658 -0.0247479 0.216818 -0.706187 2.77885
8.35521 1.78963 0.00916122 0.214193 0.161741 8.35365
3.82645 0.804601 0.00986246 0.210274 0.197334 3.82135
3.8939 0.859884 0.00459559 0.220828 -0.638283 -3.84123
5.04852 1.13954 0.00579004 0.225718 1.1781 -4.90914
2.56218 0.513875 -0.00193776 0.200562 -1.33661 -2.18591
5.28993 1.16429 -0.000843765 0.220096 -3.44869 4.01122
9.55623 2.08502 0.00533801 0.218185 -4.33477 8.51653
4.45285 1.02761 -0.0027217 0.230777 -2.89817 3.3806
2.83606 0.61252 -0.00803793 0.215976 -2.82663 0.231073
7.67374 1.71903 -0.00213454 0.224015 -3.87017 -6.62631
4.78543 1.03181 -0.0104462 0.215616 -1.36742 4.5859
3.17229 0.752922 0.0137502 0.237344 2.00861 2.45538
2.92045 0.610778 -0.000134618 0.209138 2.89897 0.353582
4.65343 1.04981 0.0102025 0.2256 -1.85084 4.26952
2.70282 0.568904 0.0146962 0.210485 -1.14 2.45064
2.97637 0.649677 0.0167374 0.218278 -2.615 -1.42146
4.85685 1.1103 0.00608616 0.228604 -4.15358 2.51729
13.35 2.95793 -0.00333863 0.221569 5.81957 12.0147
4.03487 0.867656 0.00519571 0.215039 -2.71274 -2.98683
2.95972 0.646267 -0.0121382 0.218354 0.597499 -2.89878
3.50072 0.794089 0.00566429 0.226836 1.26555 -3.26395
13.1686 2.89571 -0.00164208 0.219895 -7.97144 -10.4818
2.52912 0.553704 -0.00547747 0.218931 0.96773 2.33665
5.30971 1.22919 -0.00522214 0.231499 2.50008 4.6843
6.62073 1.47654 0.00781721 0.223018 -3.10612 -5.84688
3.17369 0.674494 0.015262 0.212527 -0.0294828 3.17356
5.55025 1.16585 0.0109492 0.210053 -5.49743 -0.763889
8.89504 1.88231 -0.00782969 0.211614 8.8946 0.0884059
8.52177 1.89751 -0.00558962 0.222666 5.86424 6.18315
7.01516 1.47699 0.00720141 0.210543 -5.27137 4.62873
3.8794 0.874571 0.010105 0.22544 1.46476 -3.59225
3.84856 0.815352 0.0186167 0.211859 -2.16228 3.1837
13.9978 3.00101 0.00364722 0.214392 -11.6702 7.7294
18.8216 4.16575 -1.80307e-05 0.221329 17.5984 -6.6745
8.96923 2.0014 0.0031565 0.223141 7.37916 5.09855
3.90391 0.890932 0.0217773 0.228215 3.90353 -0.0544168
3.03632 0.607269 0.00937223 0.200002 -2.79872 1.17746
3.90708 0.827266 -0.00443878 0.211735 -1.76917 -3.48358
4.23627 0.92772 -0.00484049 0.218995 -4.23622 0.0203422
3.71777 0.838266 0.0148413 0.225476 -2.46385 -2.78411
2.61058 0.593185 -0.00651528 0.227223 2.60135 -0.219407
2.49949 0.524115 -0.00310482 0.209689 2.31331 -0.946608
8.04042 1.69554 -0.017278 0.210877 -7.46835 -2.97861
6.18729 1.42943 0.00444695 0.231027 1.97827 5.86251
3.2632 0.724283 -0.00334352 0.221955 2.87244 -1.54839
12.3677 2.74799 -0.00398419 0.222191 -10.014 7.2581
2.7362 0.586418 0.0175529 0.214318 0.248238 -2.72492
4.68399 1.06635 0.00602826 0.227659 4.09552 2.273
6.30307 1.32506 0.00332578 0.210225 2.35764 -5.84553
5.01812 1.11855 -0.00173307 0.222903 -4.6595 -1.86296
5.83731 1.2747 0.00991353 0.218371 -0.0132185 5.8373
4.79727 1.04564 -0.000216025 0.217966 4.4441 1.8066
8.9864 1.9522 0.00340602 0.217239 8.64749 2.44466
4.23832 0.983437 -0.0188857 0.232035 -0.552479 4.20216
8.26895 1.79738 0.00306697 0.217365 -7.98519 2.1476
5.93167 1.27347 0.0061246 0.21469 -4.372 4.00879
5.76431 1.23918 -0.000547824 0.214975 3.41212 -4.64594
5.96212 1.3091 0.000679743 0.219569 -5.03804 3.18826
4.94629 1.08015 -0.0105341 0.218376 -4.94619 -0.031386
9.936 2.18592 0.00725165 0.22 -9.64154 2.40097
10.3587 2.28677 0.00214455 0.22076 9.06434 5.01391
